alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-01558,2026-09-10T01:31:56,SyslogNG,ao-051-report,report-batch,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 58 dolu",dc1,rack-A,prod
ALM-02716,2026-09-10T01:31:56,Prometheus,ao-018-billing,billing-service,2,latency_high,"Yanit suresi p99 esigi asti, 30 ms",dc2,rack-A,prod
ALM-01660,2026-09-10T01:31:57,AppDynamics,ao-033-subscriber,subscriber-db,1,network_flap,Arayuz eth0 link durumu 85 kez degisti,dc1,rack-A,prod
ALM-01506,2026-09-10T01:31:59,SyslogNG,ao-043-load,load-balancer,3,mem_high,Bellek kullanimi yuzde 85 seviyesinde,dc1,rack-B,prod
ALM-02691,2026-09-10T01:32:04,Zabbix,ao-054-payment,payment-provider-gw,3,latency_high,"Yanit suresi p99 esigi asti, 83 ms",dc2,rack-A,prod
ALM-01261,2026-09-10T01:32:06,OBM,ao-055-sms,sms-gateway,2,cert_expiry,Sertifika 49 gun icinde suresi dolacak,dc1,rack-B,prod
ALM-02418,2026-09-10T01:32:06,OBM,ao-043-load,load-balancer,3,backup_warn,Yedekleme isi 46 dakika gecikmeli tamamlandi,dc1,rack-B,prod
ALM-02152,2026-09-10T01:32:09,OBM,ao-004-mobile,mobile-bff,1,backup_warn,Yedekleme isi 27 dakika gecikmeli tamamlandi,dc2,rack-B,prod
ALM-02300,2026-09-10T01:32:22,AppDynamics,ao-049-invoice,invoice-batch,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 59 saniye",dc1,rack-B,prod
ALM-01681,2026-09-10T01:32:27,Prometheus,ao-018-billing,billing-service,3,cpu_high,CPU kullanimi yuzde 55,dc2,rack-A,prod
ALM-02115,2026-09-10T01:32:27,Zabbix,ao-050-reconciliation,reconciliation-batch,4,backup_warn,Yedekleme isi 54 dakika gecikmeli tamamlandi,dc2,rack-C,prod
ALM-02001,2026-09-10T01:32:32,Zabbix,ao-050-reconciliation,reconciliation-batch,3,cpu_high,CPU kullanimi yuzde 25,dc2,rack-C,prod
ALM-01459,2026-09-10T01:32:35,SyslogNG,ao-033-subscriber,subscriber-db,2,cert_expiry,Sertifika 30 gun icinde suresi dolacak,dc1,rack-A,prod
ALM-01426,2026-09-10T01:32:36,AppDynamics,ao-018-billing,billing-service,3,backup_warn,Yedekleme isi 75 dakika gecikmeli tamamlandi,dc2,rack-A,prod
ALM-01567,2026-09-10T01:32:36,OBM,ao-042-load,load-balancer,1,cert_expiry,Sertifika 46 gun icinde suresi dolacak,dc2,rack-A,prod
ALM-01830,2026-09-10T01:32:39,AppDynamics,ao-005-mobile,mobile-bff,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 38 saniye",dc1,rack-C,prod
ALM-02165,2026-09-10T01:32:44,Prometheus,ao-021-charging,charging-service,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 64 dolu",dc1,rack-A,prod
ALM-02242,2026-09-10T01:32:49,OBM,ao-003-api,api-gateway,1,backup_warn,Yedekleme isi 67 dakika gecikmeli tamamlandi,dc1,rack-A,prod
ALM-02419,2026-09-10T01:32:58,OBM,ao-046-dns,dns-resolver,3,ntp_drift,Saat sapmasi 70 ms,dc2,rack-B,prod
ALM-02038,2026-09-10T01:33:03,Zabbix,ao-033-subscriber,subscriber-db,1,mem_high,Bellek kullanimi yuzde 52 seviyesinde,dc1,rack-A,prod
ALM-02518,2026-09-10T01:33:03,OBM,ao-016-subscriber,subscriber-service,3,ntp_drift,Saat sapmasi 44 ms,dc2,rack-B,prod
ALM-02702,2026-09-10T01:33:07,Prometheus,ao-054-payment,payment-provider-gw,3,log_rotate,"Log rotasyonu beklenenden uzun surdu, 55 saniye",dc2,rack-A,prod
ALM-01836,2026-09-10T01:33:17,AppDynamics,ao-023-charging,charging-service,3,network_flap,Arayuz bond0 link durumu 83 kez degisti,dc1,rack-C,prod
ALM-02281,2026-09-10T01:33:17,Zabbix,ao-002-api,api-gateway,1,cert_expiry,Sertifika 24 gun icinde suresi dolacak,dc2,rack-C,prod
ALM-02970,2026-09-10T01:33:18,OBM,ao-043-load,load-balancer,2,ntp_drift,Saat sapmasi 80 ms,dc1,rack-B,prod
ALM-01861,2026-09-10T01:33:28,SyslogNG,ao-045-dns,dns-resolver,2,cpu_high,CPU kullanimi yuzde 83,dc1,rack-A,prod
ALM-02735,2026-09-10T01:33:29,SyslogNG,ao-052-payment,payment-provider-gw,2,network_flap,Arayuz bond0 link durumu 64 kez degisti,dc2,rack-B,prod
ALM-02766,2026-09-10T01:33:34,SyslogNG,ao-046-dns,dns-resolver,1,cert_expiry,Sertifika 75 gun icinde suresi dolacak,dc2,rack-B,prod
ALM-01251,2026-09-10T01:33:35,OBM,ao-009-auth,auth-service,4,cpu_high,CPU kullanimi yuzde 79,dc1,rack-A,prod
ALM-02895,2026-09-10T01:33:37,SyslogNG,ao-021-charging,charging-service,2,cert_expiry,Sertifika 49 gun icinde suresi dolacak,dc1,rack-A,prod
ALM-02740,2026-09-10T01:33:43,OBM,ao-023-charging,charging-service,1,cpu_high,CPU kullanimi yuzde 84,dc1,rack-C,prod
ALM-02893,2026-09-10T01:33:44,Prometheus,ao-040-message,message-queue,1,cpu_high,CPU kullanimi yuzde 20,dc2,rack-B,prod
ALM-01333,2026-09-10T01:33:45,Prometheus,ao-037-cache,cache-cluster,1,network_flap,Arayuz eth1 link durumu 31 kez degisti,dc1,rack-B,prod
ALM-01915,2026-09-10T01:33:46,SyslogNG,ao-030-notification,notification-service,2,network_flap,Arayuz bond0 link durumu 41 kez degisti,dc2,rack-A,prod
ALM-02048,2026-09-10T01:33:52,OBM,ao-016-subscriber,subscriber-service,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 27 dolu",dc2,rack-B,prod
ALM-02969,2026-09-10T01:34:00,OBM,ao-046-dns,dns-resolver,1,cpu_high,CPU kullanimi yuzde 36,dc2,rack-B,prod
ALM-02064,2026-09-10T01:34:07,AppDynamics,ao-028-order,order-service,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 49 saniye",dc2,rack-B,prod
ALM-02004,2026-09-10T01:34:12,AppDynamics,ao-005-mobile,mobile-bff,2,mem_high,Bellek kullanimi yuzde 41 seviyesinde,dc1,rack-C,prod
ALM-02634,2026-09-10T01:34:26,AppDynamics,ao-047-ntp,ntp-service,1,cpu_high,CPU kullanimi yuzde 57,dc1,rack-C,prod
ALM-01871,2026-09-10T01:34:29,OBM,ao-003-api,api-gateway,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 23 saniye",dc1,rack-A,prod
ALM-01622,2026-09-10T01:34:32,Zabbix,ao-046-dns,dns-resolver,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 50 dolu",dc2,rack-B,prod
ALM-01669,2026-09-10T01:34:32,Zabbix,ao-046-dns,dns-resolver,1,mem_high,Bellek kullanimi yuzde 86 seviyesinde,dc2,rack-B,prod
ALM-02151,2026-09-10T01:34:36,AppDynamics,ao-049-invoice,invoice-batch,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 86 dolu",dc1,rack-B,prod
ALM-01789,2026-09-10T01:34:39,AppDynamics,ao-025-payment,payment-service,2,cert_expiry,Sertifika 24 gun icinde suresi dolacak,dc1,rack-B,prod
ALM-01918,2026-09-10T01:34:47,OBM,ao-044-load,load-balancer,4,cert_expiry,Sertifika 84 gun icinde suresi dolacak,dc2,rack-C,prod
ALM-02626,2026-09-10T01:34:51,SyslogNG,ao-035-billing,billing-db,3,latency_high,"Yanit suresi p99 esigi asti, 29 ms",dc1,rack-C,prod
ALM-01543,2026-09-10T01:34:53,Zabbix,ao-023-charging,charging-service,3,log_rotate,"Log rotasyonu beklenenden uzun surdu, 61 saniye",dc1,rack-C,prod
ALM-02200,2026-09-10T01:34:57,Zabbix,ao-043-load,load-balancer,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 64 saniye",dc1,rack-B,prod
ALM-02113,2026-09-10T01:35:05,SyslogNG,ao-019-billing,billing-service,2,latency_high,"Yanit suresi p99 esigi asti, 58 ms",dc1,rack-B,prod
ALM-01632,2026-09-10T01:35:06,SyslogNG,ao-014-session,session-service,2,cert_expiry,Sertifika 62 gun icinde suresi dolacak,dc2,rack-C,prod
ALM-02573,2026-09-10T01:35:06,AppDynamics,ao-005-mobile,mobile-bff,1,cert_expiry,Sertifika 71 gun icinde suresi dolacak,dc1,rack-C,prod
ALM-01425,2026-09-10T01:35:08,SyslogNG,ao-012-session,session-service,2,latency_high,"Yanit suresi p99 esigi asti, 65 ms",dc2,rack-A,prod
ALM-02794,2026-09-10T01:35:10,Zabbix,ao-024-payment,payment-service,1,cpu_high,CPU kullanimi yuzde 38,dc2,rack-A,prod
ALM-00737,2026-09-10T01:35:11,Zabbix,ao-013-session,session-service,2,mem_high,Bellek kullanimi yuzde 60 seviyesinde,dc1,rack-B,prod
ALM-01639,2026-09-10T01:35:12,Zabbix,ao-033-subscriber,subscriber-db,2,network_flap,Arayuz ens192 link durumu 60 kez degisti,dc1,rack-A,prod
ALM-01352,2026-09-10T01:35:13,OBM,ao-006-mobile,mobile-bff,2,mem_high,Bellek kullanimi yuzde 21 seviyesinde,dc2,rack-A,prod
ALM-02043,2026-09-10T01:35:16,Prometheus,ao-048-batch,batch-scheduler,1,network_flap,Arayuz eth1 link durumu 36 kez degisti,dc2,rack-A,prod
ALM-02509,2026-09-10T01:35:18,Prometheus,ao-014-session,session-service,2,network_flap,Arayuz eth0 link durumu 24 kez degisti,dc2,rack-C,prod
ALM-00719,2026-09-10T01:35:19,Prometheus,ao-012-session,session-service,2,mem_high,Bellek kullanimi yuzde 60 seviyesinde,dc2,rack-A,prod
ALM-00755,2026-09-10T01:35:22,SyslogNG,ao-014-session,session-service,2,mem_high,Bellek kullanimi yuzde 60 seviyesinde,dc2,rack-C,prod
ALM-01392,2026-09-10T01:35:22,Zabbix,ao-047-ntp,ntp-service,3,log_rotate,"Log rotasyonu beklenenden uzun surdu, 75 saniye",dc1,rack-C,prod
ALM-01860,2026-09-10T01:35:23,SyslogNG,ao-043-load,load-balancer,2,mem_high,Bellek kullanimi yuzde 79 seviyesinde,dc1,rack-B,prod
ALM-01350,2026-09-10T01:35:27,AppDynamics,ao-038-cache,cache-cluster,2,latency_high,"Yanit suresi p99 esigi asti, 54 ms",dc2,rack-C,prod
ALM-01523,2026-09-10T01:35:33,SyslogNG,ao-011-auth,auth-service,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 75 dolu",dc1,rack-C,prod
ALM-02175,2026-09-10T01:35:34,Prometheus,ao-007-web,web-bff,3,ntp_drift,Saat sapmasi 25 ms,dc1,rack-B,prod
ALM-01400,2026-09-10T01:35:45,AppDynamics,ao-043-load,load-balancer,4,latency_high,"Yanit suresi p99 esigi asti, 39 ms",dc1,rack-B,prod
ALM-01795,2026-09-10T01:35:46,SyslogNG,ao-021-charging,charging-service,1,latency_high,"Yanit suresi p99 esigi asti, 30 ms",dc1,rack-A,prod
ALM-01965,2026-09-10T01:35:49,SyslogNG,ao-017-subscriber,subscriber-service,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 75 saniye",dc1,rack-C,prod
ALM-01810,2026-09-10T01:35:50,OBM,ao-038-cache,cache-cluster,1,network_flap,Arayuz ens192 link durumu 44 kez degisti,dc2,rack-C,prod
ALM-02510,2026-09-10T01:35:56,SyslogNG,ao-045-dns,dns-resolver,3,latency_high,"Yanit suresi p99 esigi asti, 75 ms",dc1,rack-A,prod
ALM-02754,2026-09-10T01:35:58,SyslogNG,ao-013-session,session-service,2,cert_expiry,Sertifika 39 gun icinde suresi dolacak,dc1,rack-B,prod
ALM-02739,2026-09-10T01:36:00,AppDynamics,ao-013-session,session-service,1,latency_high,"Yanit suresi p99 esigi asti, 47 ms",dc1,rack-B,prod
ALM-02007,2026-09-10T01:36:05,Zabbix,ao-003-api,api-gateway,2,cert_expiry,Sertifika 39 gun icinde suresi dolacak,dc1,rack-A,prod
ALM-01475,2026-09-10T01:36:10,AppDynamics,ao-001-api,api-gateway,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 49 dolu",dc1,rack-B,prod
ALM-02377,2026-09-10T01:36:17,Prometheus,ao-034-billing,billing-db,4,cpu_high,CPU kullanimi yuzde 52,dc2,rack-B,prod
ALM-02646,2026-09-10T01:36:19,Zabbix,ao-048-batch,batch-scheduler,3,ntp_drift,Saat sapmasi 56 ms,dc2,rack-A,prod
ALM-01769,2026-09-10T01:36:22,Prometheus,ao-019-billing,billing-service,2,latency_high,"Yanit suresi p99 esigi asti, 35 ms",dc1,rack-B,prod
ALM-02764,2026-09-10T01:36:25,AppDynamics,ao-021-charging,charging-service,2,latency_high,"Yanit suresi p99 esigi asti, 57 ms",dc1,rack-A,prod
ALM-02958,2026-09-10T01:36:27,OBM,ao-018-billing,billing-service,1,network_flap,Arayuz eth0 link durumu 78 kez degisti,dc2,rack-A,prod
ALM-01763,2026-09-10T01:36:31,SyslogNG,ao-027-order,order-service,2,network_flap,Arayuz ens192 link durumu 79 kez degisti,dc1,rack-A,prod
ALM-02426,2026-09-10T01:36:33,Prometheus,ao-037-cache,cache-cluster,3,mem_high,Bellek kullanimi yuzde 82 seviyesinde,dc1,rack-B,prod
ALM-01285,2026-09-10T01:36:35,AppDynamics,ao-042-load,load-balancer,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 73 dolu",dc2,rack-A,prod
ALM-02872,2026-09-10T01:36:36,Zabbix,ao-038-cache,cache-cluster,1,cert_expiry,Sertifika 57 gun icinde suresi dolacak,dc2,rack-C,prod
ALM-01260,2026-09-10T01:36:43,SyslogNG,ao-025-payment,payment-service,2,ntp_drift,Saat sapmasi 59 ms,dc1,rack-B,prod
ALM-01393,2026-09-10T01:36:44,Zabbix,ao-041-object,object-store,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 74 dolu",dc1,rack-C,prod
ALM-01376,2026-09-10T01:36:45,OBM,ao-018-billing,billing-service,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 75 dolu",dc2,rack-A,prod
ALM-01336,2026-09-10T01:36:51,AppDynamics,ao-056-kyc,kyc-provider-gw,2,mem_high,Bellek kullanimi yuzde 27 seviyesinde,dc2,rack-C,prod
ALM-02830,2026-09-10T01:36:52,OBM,ao-011-auth,auth-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 59 dolu",dc1,rack-C,prod
ALM-01557,2026-09-10T01:36:58,Prometheus,ao-014-session,session-service,4,ntp_drift,Saat sapmasi 55 ms,dc2,rack-C,prod
ALM-02502,2026-09-10T01:37:07,Prometheus,ao-029-catalog,catalog-service,1,latency_high,"Yanit suresi p99 esigi asti, 80 ms",dc1,rack-C,prod
ALM-02552,2026-09-10T01:37:07,AppDynamics,ao-013-session,session-service,1,latency_high,"Yanit suresi p99 esigi asti, 33 ms",dc1,rack-B,prod
ALM-02533,2026-09-10T01:37:09,SyslogNG,ao-034-billing,billing-db,2,cpu_high,CPU kullanimi yuzde 46,dc2,rack-B,prod
ALM-02899,2026-09-10T01:37:12,SyslogNG,ao-050-reconciliation,reconciliation-batch,1,backup_warn,Yedekleme isi 68 dakika gecikmeli tamamlandi,dc2,rack-C,prod
ALM-01806,2026-09-10T01:37:13,AppDynamics,ao-052-payment,payment-provider-gw,2,network_flap,Arayuz eth0 link durumu 46 kez degisti,dc2,rack-B,prod
ALM-01518,2026-09-10T01:37:14,OBM,ao-022-charging,charging-service,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 83 saniye",dc2,rack-B,prod
ALM-02222,2026-09-10T01:37:24,Prometheus,ao-040-message,message-queue,2,cpu_high,CPU kullanimi yuzde 33,dc2,rack-B,prod
ALM-01911,2026-09-10T01:37:25,AppDynamics,ao-017-subscriber,subscriber-service,4,mem_high,Bellek kullanimi yuzde 31 seviyesinde,dc1,rack-C,prod
ALM-02612,2026-09-10T01:37:30,Prometheus,ao-041-object,object-store,3,network_flap,Arayuz bond0 link durumu 71 kez degisti,dc1,rack-C,prod
ALM-02370,2026-09-10T01:37:32,AppDynamics,ao-006-mobile,mobile-bff,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 76 dolu",dc2,rack-A,prod
ALM-01341,2026-09-10T01:37:33,SyslogNG,ao-055-sms,sms-gateway,2,cpu_high,CPU kullanimi yuzde 45,dc1,rack-B,prod
ALM-02444,2026-09-10T01:37:36,Prometheus,ao-043-load,load-balancer,3,mem_high,Bellek kullanimi yuzde 38 seviyesinde,dc1,rack-B,prod
ALM-01781,2026-09-10T01:37:47,SyslogNG,ao-035-billing,billing-db,1,cpu_high,CPU kullanimi yuzde 73,dc1,rack-C,prod
ALM-02761,2026-09-10T01:37:49,AppDynamics,ao-035-billing,billing-db,1,latency_high,"Yanit suresi p99 esigi asti, 29 ms",dc1,rack-C,prod
ALM-01343,2026-09-10T01:37:52,OBM,ao-048-batch,batch-scheduler,2,latency_high,"Yanit suresi p99 esigi asti, 84 ms",dc2,rack-A,prod
ALM-02643,2026-09-10T01:37:54,SyslogNG,ao-048-batch,batch-scheduler,3,backup_warn,Yedekleme isi 38 dakika gecikmeli tamamlandi,dc2,rack-A,prod
ALM-02593,2026-09-10T01:37:58,SyslogNG,ao-025-payment,payment-service,4,network_flap,Arayuz eth0 link durumu 74 kez degisti,dc1,rack-B,prod
ALM-02198,2026-09-10T01:37:59,OBM,ao-003-api,api-gateway,1,ntp_drift,Saat sapmasi 55 ms,dc1,rack-A,prod
ALM-02529,2026-09-10T01:37:59,Zabbix,ao-016-subscriber,subscriber-service,3,cpu_high,CPU kullanimi yuzde 42,dc2,rack-B,prod
ALM-01487,2026-09-10T01:38:08,AppDynamics,ao-013-session,session-service,3,log_rotate,"Log rotasyonu beklenenden uzun surdu, 21 saniye",dc1,rack-B,prod
ALM-01389,2026-09-10T01:38:09,SyslogNG,ao-001-api,api-gateway,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 72 saniye",dc1,rack-B,prod
ALM-02263,2026-09-10T01:38:17,Prometheus,ao-039-message,message-queue,2,mem_high,Bellek kullanimi yuzde 72 seviyesinde,dc1,rack-A,prod
ALM-01437,2026-09-10T01:38:19,OBM,ao-009-auth,auth-service,2,ntp_drift,Saat sapmasi 38 ms,dc1,rack-A,prod
ALM-01663,2026-09-10T01:38:19,SyslogNG,ao-021-charging,charging-service,1,cert_expiry,Sertifika 64 gun icinde suresi dolacak,dc1,rack-A,prod
ALM-01929,2026-09-10T01:38:21,Prometheus,ao-029-catalog,catalog-service,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 28 dolu",dc1,rack-C,prod
ALM-01941,2026-09-10T01:38:24,SyslogNG,ao-047-ntp,ntp-service,2,mem_high,Bellek kullanimi yuzde 79 seviyesinde,dc1,rack-C,prod
ALM-02474,2026-09-10T01:38:24,Zabbix,ao-052-payment,payment-provider-gw,2,mem_high,Bellek kullanimi yuzde 73 seviyesinde,dc2,rack-B,prod
ALM-01241,2026-09-10T01:38:32,OBM,ao-052-payment,payment-provider-gw,1,mem_high,Bellek kullanimi yuzde 40 seviyesinde,dc2,rack-B,prod
ALM-02329,2026-09-10T01:38:33,Prometheus,ao-015-subscriber,subscriber-service,1,mem_high,Bellek kullanimi yuzde 87 seviyesinde,dc1,rack-A,prod
ALM-02596,2026-09-10T01:38:34,AppDynamics,ao-054-payment,payment-provider-gw,4,log_rotate,"Log rotasyonu beklenenden uzun surdu, 30 saniye",dc2,rack-A,prod
ALM-02952,2026-09-10T01:38:35,OBM,ao-034-billing,billing-db,2,cpu_high,CPU kullanimi yuzde 52,dc2,rack-B,prod
ALM-02302,2026-09-10T01:38:36,Prometheus,ao-005-mobile,mobile-bff,1,network_flap,Arayuz eth1 link durumu 35 kez degisti,dc1,rack-C,prod
ALM-01630,2026-09-10T01:38:37,OBM,ao-048-batch,batch-scheduler,2,network_flap,Arayuz eth1 link durumu 41 kez degisti,dc2,rack-A,prod
ALM-01423,2026-09-10T01:38:38,OBM,ao-026-payment,payment-service,4,ntp_drift,Saat sapmasi 71 ms,dc2,rack-C,prod
ALM-01304,2026-09-10T01:38:45,Zabbix,ao-018-billing,billing-service,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 36 dolu",dc2,rack-A,prod
ALM-01386,2026-09-10T01:38:47,Prometheus,ao-041-object,object-store,2,network_flap,Arayuz ens192 link durumu 43 kez degisti,dc1,rack-C,prod
ALM-01867,2026-09-10T01:38:58,AppDynamics,ao-029-catalog,catalog-service,2,ntp_drift,Saat sapmasi 62 ms,dc1,rack-C,prod
ALM-02773,2026-09-10T01:39:00,AppDynamics,ao-039-message,message-queue,2,ntp_drift,Saat sapmasi 80 ms,dc1,rack-A,prod
ALM-01672,2026-09-10T01:39:07,Zabbix,ao-017-subscriber,subscriber-service,3,log_rotate,"Log rotasyonu beklenenden uzun surdu, 69 saniye",dc1,rack-C,prod
ALM-02434,2026-09-10T01:39:07,AppDynamics,ao-035-billing,billing-db,3,cert_expiry,Sertifika 65 gun icinde suresi dolacak,dc1,rack-C,prod
ALM-02057,2026-09-10T01:39:10,OBM,ao-043-load,load-balancer,1,backup_warn,Yedekleme isi 74 dakika gecikmeli tamamlandi,dc1,rack-B,prod
ALM-01329,2026-09-10T01:39:11,OBM,ao-028-order,order-service,1,cpu_high,CPU kullanimi yuzde 22,dc2,rack-B,prod
ALM-01773,2026-09-10T01:39:12,AppDynamics,ao-052-payment,payment-provider-gw,2,latency_high,"Yanit suresi p99 esigi asti, 80 ms",dc2,rack-B,prod
ALM-02375,2026-09-10T01:39:16,AppDynamics,ao-018-billing,billing-service,2,cert_expiry,Sertifika 61 gun icinde suresi dolacak,dc2,rack-A,prod
ALM-01908,2026-09-10T01:39:21,Zabbix,ao-028-order,order-service,2,latency_high,"Yanit suresi p99 esigi asti, 37 ms",dc2,rack-B,prod
ALM-02534,2026-09-10T01:39:21,AppDynamics,ao-040-message,message-queue,1,network_flap,Arayuz bond0 link durumu 56 kez degisti,dc2,rack-B,prod
ALM-02539,2026-09-10T01:39:23,OBM,ao-035-billing,billing-db,3,latency_high,"Yanit suresi p99 esigi asti, 23 ms",dc1,rack-C,prod
ALM-02266,2026-09-10T01:39:27,Prometheus,ao-032-subscriber,subscriber-db,2,cert_expiry,Sertifika 79 gun icinde suresi dolacak,dc2,rack-C,prod
ALM-02867,2026-09-10T01:39:38,AppDynamics,ao-041-object,object-store,1,network_flap,Arayuz eth1 link durumu 31 kez degisti,dc1,rack-C,prod
ALM-00720,2026-09-10T01:39:39,Zabbix,ao-012-session,session-service,2,mem_high,Bellek kullanimi yuzde 62 seviyesinde,dc2,rack-A,prod
ALM-00756,2026-09-10T01:40:15,SyslogNG,ao-014-session,session-service,2,mem_high,Bellek kullanimi yuzde 62 seviyesinde,dc2,rack-C,prod
ALM-01707,2026-09-10T01:40:19,Zabbix,ao-008-web,web-bff,1,latency_high,"Yanit suresi p99 esigi asti, 57 ms",dc2,rack-C,prod
ALM-02136,2026-09-10T01:40:19,OBM,ao-038-cache,cache-cluster,3,ntp_drift,Saat sapmasi 68 ms,dc2,rack-C,prod
ALM-00738,2026-09-10T01:40:27,SyslogNG,ao-013-session,session-service,2,mem_high,Bellek kullanimi yuzde 62 seviyesinde,dc1,rack-B,prod
ALM-01673,2026-09-10T01:40:30,OBM,ao-046-dns,dns-resolver,3,backup_warn,Yedekleme isi 62 dakika gecikmeli tamamlandi,dc2,rack-B,prod
ALM-02351,2026-09-10T01:40:33,AppDynamics,ao-039-message,message-queue,3,cpu_high,CPU kullanimi yuzde 66,dc1,rack-A,prod
ALM-02694,2026-09-10T01:40:39,Zabbix,ao-032-subscriber,subscriber-db,3,ntp_drift,Saat sapmasi 27 ms,dc2,rack-C,prod
